LocalDateTime,UTCOffset,DateTimeUTC,Q_flume,COND,STAGE,STAGE,SPCOND,TEMP,TEMP
6/25/2013 6:00,-8,6/25/2013 14:00,-9999,-9999,-0.196,-9999,-9999,19.004,-9999
6/25/2013 6:05,-8,6/25/2013 14:05,-9999,-9999,-0.271,-9999,-9999,18.989,-9999
6/25/2013 6:10,-8,6/25/2013 14:10,-9999,-9999,-0.378,-9999,-9999,18.975,-9999
6/25/2013 6:15,-8,6/25/2013 14:15,-9999,-9999,-0.255,-9999,-9999,18.963,-9999
6/25/2013 6:20,-8,6/25/2013 14:20,-9999,-9999,-0.228,-9999,-9999,18.952,-9999
6/25/2013 6:25,-8,6/25/2013 14:25,-9999,-9999,-0.158,-9999,-9999,18.941,-9999
6/25/2013 6:30,-8,6/25/2013 14:30,-9999,-9999,-0.206,-9999,-9999,18.923,-9999
6/25/2013 6:35,-8,6/25/2013 14:35,-9999,-9999,-0.324,-9999,-9999,18.914,-9999
6/25/2013 6:40,-8,6/25/2013 14:40,-9999,-9999,-0.041,-9999,-9999,18.903,-9999
6/25/2013 6:45,-8,6/25/2013 14:45,-9999,-9999,0.015,-9999,-9999,18.892,-9999
6/25/2013 6:50,-8,6/25/2013 14:50,-9999,-9999,-0.245,-9999,-9999,18.877,-9999
6/25/2013 6:55,-8,6/25/2013 14:55,-9999,-9999,-0.401,-9999,-9999,18.864,-9999
6/25/2013 7:00,-8,6/25/2013 15:00,-9999,-9999,-0.387,-9999,-9999,18.856,-9999
6/25/2013 7:05,-8,6/25/2013 15:05,-9999,-9999,-0.353,-9999,-9999,18.845,-9999
6/25/2013 7:10,-8,6/25/2013 15:10,-9999,-9999,-0.318,-9999,-9999,18.832,-9999
6/25/2013 7:15,-8,6/25/2013 15:15,-9999,-9999,-0.046,-9999,-9999,18.823,-9999
6/25/2013 7:20,-8,6/25/2013 15:20,-9999,-9999,-0.426,-9999,-9999,18.819,-9999
6/25/2013 7:25,-8,6/25/2013 15:25,-9999,-9999,-0.255,-9999,-9999,18.811,-9999
6/25/2013 7:30,-8,6/25/2013 15:30,-9999,-9999,-0.051,-9999,-9999,18.803,-9999
6/25/2013 7:35,-8,6/25/2013 15:35,-9999,-9999,-0.493,-9999,-9999,18.801,-9999
6/25/2013 7:40,-8,6/25/2013 15:40,-9999,-9999,-0.133,-9999,-9999,18.793,-9999
6/25/2013 7:45,-8,6/25/2013 15:45,-9999,-9999,-0.223,-9999,-9999,18.786,-9999
6/25/2013 7:50,-8,6/25/2013 15:50,-9999,-9999,-0.215,-9999,-9999,18.785,-9999
6/25/2013 7:55,-8,6/25/2013 15:55,-9999,-9999,-0.224,-9999,-9999,18.781,-9999
6/25/2013 8:00,-8,6/25/2013 16:00,-9999,-9999,-0.176,-9999,-9999,18.777,-9999
6/25/2013 8:05,-8,6/25/2013 16:05,-9999,-9999,-0.105,-9999,-9999,18.769,-9999
6/25/2013 8:10,-8,6/25/2013 16:10,-9999,-9999,-0.159,-9999,-9999,18.765,-9999
6/25/2013 8:15,-8,6/25/2013 16:15,-9999,-9999,-0.526,-9999,-9999,18.762,-9999
6/25/2013 8:20,-8,6/25/2013 16:20,-9999,-9999,-0.243,-9999,-9999,18.757,-9999
6/25/2013 8:25,-8,6/25/2013 16:25,-9999,-9999,-0.093,-9999,-9999,18.756,-9999
6/25/2013 8:30,-8,6/25/2013 16:30,-9999,-9999,-0.489,-9999,-9999,18.75,-9999
6/25/2013 8:35,-8,6/25/2013 16:35,-9999,-9999,-0.265,-9999,-9999,18.75,-9999
6/25/2013 8:40,-8,6/25/2013 16:40,-9999,-9999,-0.099,-9999,-9999,18.747,-9999
6/25/2013 8:45,-8,6/25/2013 16:45,-9999,-9999,-0.195,-9999,-9999,18.746,-9999
6/25/2013 8:50,-8,6/25/2013 16:50,-9999,-9999,-0.29,-9999,-9999,18.745,-9999
6/25/2013 8:55,-8,6/25/2013 16:55,-9999,-9999,-0.147,-9999,-9999,18.751,-9999
6/25/2013 9:00,-8,6/25/2013 17:00,-9999,-9999,-0.16,-9999,-9999,18.759,-9999
6/25/2013 9:05,-8,6/25/2013 17:05,-9999,-9999,-0.163,-9999,-9999,18.766,-9999
6/25/2013 9:10,-8,6/25/2013 17:10,-9999,-9999,-0.378,-9999,-9999,18.784,-9999
6/25/2013 9:15,-8,6/25/2013 17:15,-9999,-9999,-0.427,-9999,-9999,18.796,-9999
6/25/2013 9:20,-8,6/25/2013 17:20,-9999,-9999,-0.125,-9999,-9999,18.816,-9999
6/25/2013 9:25,-8,6/25/2013 17:25,-9999,-9999,-0.336,-9999,-9999,18.832,-9999
6/25/2013 9:30,-8,6/25/2013 17:30,-9999,-9999,-0.108,-9999,-9999,18.856,-9999
6/25/2013 9:35,-8,6/25/2013 17:35,-9999,-9999,0.078,-9999,-9999,18.883,-9999
6/25/2013 9:40,-8,6/25/2013 17:40,-9999,-9999,-0.217,-9999,-9999,18.913,-9999
6/25/2013 9:45,-8,6/25/2013 17:45,-9999,-9999,-0.145,-9999,-9999,18.943,-9999
6/25/2013 9:50,-8,6/25/2013 17:50,-9999,-9999,0.014,-9999,-9999,18.974,-9999
6/25/2013 9:55,-8,6/25/2013 17:55,-9999,-9999,-0.322,-9999,-9999,19.011,-9999
6/25/2013 10:00,-8,6/25/2013 18:00,-9999,-9999,-0.375,-9999,-9999,19.047,-9999
6/25/2013 10:05,-8,6/25/2013 18:05,-9999,-9999,-0.278,-9999,-9999,19.095,-9999
6/25/2013 10:10,-8,6/25/2013 18:10,-9999,-9999,-0.368,-9999,-9999,19.144,-9999
6/25/2013 10:15,-8,6/25/2013 18:15,-9999,-9999,-0.321,-9999,-9999,19.196,-9999
6/25/2013 10:20,-8,6/25/2013 18:20,-9999,-9999,-0.183,-9999,-9999,19.252,-9999
6/25/2013 10:25,-8,6/25/2013 18:25,-9999,-9999,-0.122,-9999,-9999,19.304,-9999
6/25/2013 10:30,-8,6/25/2013 18:30,-9999,-9999,-0.372,-9999,-9999,19.361,-9999
6/25/2013 10:35,-8,6/25/2013 18:35,-9999,-9999,-0.057,-9999,-9999,19.414,-9999
6/25/2013 10:40,-8,6/25/2013 18:40,-9999,-9999,-0.298,-9999,-9999,19.471,-9999
6/25/2013 10:45,-8,6/25/2013 18:45,-9999,-9999,-0.348,-9999,-9999,19.523,-9999
6/25/2013 10:50,-8,6/25/2013 18:50,-9999,-9999,-0.376,-9999,-9999,19.574,-9999
6/25/2013 10:55,-8,6/25/2013 18:55,-9999,-9999,-0.241,-9999,-9999,19.627,-9999
6/25/2013 11:00,-8,6/25/2013 19:00,-9999,-9999,-0.266,-9999,-9999,19.674,-9999
6/25/2013 11:05,-8,6/25/2013 19:05,-9999,-9999,-0.305,-9999,-9999,19.719,-9999
6/25/2013 11:10,-8,6/25/2013 19:10,-9999,-9999,-0.628,-9999,-9999,19.765,-9999
6/25/2013 11:15,-8,6/25/2013 19:15,-9999,-9999,-0.32,-9999,-9999,19.81,-9999
6/25/2013 11:20,-8,6/25/2013 19:20,-9999,-9999,-0.418,-9999,-9999,19.857,-9999
6/25/2013 11:25,-8,6/25/2013 19:25,-9999,-9999,-0.216,-9999,-9999,19.9,-9999
6/25/2013 11:30,-8,6/25/2013 19:30,-9999,-9999,-0.508,-9999,-9999,19.941,-9999
6/25/2013 11:35,-8,6/25/2013 19:35,-9999,-9999,-0.328,-9999,-9999,19.98,-9999
6/25/2013 11:40,-8,6/25/2013 19:40,-9999,-9999,-0.395,-9999,-9999,20.017,-9999
6/25/2013 11:45,-8,6/25/2013 19:45,-9999,-9999,-0.261,-9999,-9999,20.046,-9999
6/25/2013 11:50,-8,6/25/2013 19:50,-9999,-9999,-0.185,-9999,-9999,20.078,-9999
6/25/2013 11:55,-8,6/25/2013 19:55,-9999,-9999,-0.184,-9999,-9999,20.103,-9999
6/25/2013 12:00,-8,6/25/2013 20:00,-9999,-9999,-0.554,-9999,-9999,20.127,-9999
6/25/2013 12:05,-8,6/25/2013 20:05,-9999,-9999,-0.325,-9999,-9999,20.155,-9999
6/25/2013 12:10,-8,6/25/2013 20:10,-9999,-9999,-0.331,-9999,-9999,20.18,-9999
6/25/2013 12:15,-8,6/25/2013 20:15,-9999,-9999,-0.109,-9999,-9999,20.201,-9999
6/25/2013 12:20,-8,6/25/2013 20:20,-9999,-9999,-0.33,-9999,-9999,20.222,-9999
6/25/2013 12:25,-8,6/25/2013 20:25,-9999,-9999,-0.294,-9999,-9999,20.242,-9999
6/25/2013 12:30,-8,6/25/2013 20:30,-9999,-9999,-0.249,-9999,-9999,20.262,-9999
6/25/2013 12:35,-8,6/25/2013 20:35,-9999,-9999,-0.437,-9999,-9999,20.28,-9999
6/25/2013 12:40,-8,6/25/2013 20:40,-9999,-9999,-0.464,-9999,-9999,20.293,-9999
6/25/2013 12:45,-8,6/25/2013 20:45,-9999,-9999,-0.556,-9999,-9999,20.306,-9999
6/25/2013 12:50,-8,6/25/2013 20:50,-9999,-9999,-0.447,-9999,-9999,20.322,-9999
6/25/2013 12:55,-8,6/25/2013 20:55,-9999,-9999,-0.064,-9999,-9999,20.335,-9999
6/25/2013 13:00,-8,6/25/2013 21:00,-9999,-9999,-0.214,-9999,-9999,20.35,-9999
6/25/2013 13:05,-8,6/25/2013 21:05,-9999,-9999,-0.249,-9999,-9999,20.363,-9999
6/25/2013 13:10,-8,6/25/2013 21:10,-9999,-9999,-0.361,-9999,-9999,20.376,-9999
6/25/2013 13:15,-8,6/25/2013 21:15,-9999,-9999,-0.212,-9999,-9999,20.393,-9999
6/25/2013 13:20,-8,6/25/2013 21:20,-9999,-9999,-0.519,-9999,-9999,20.406,-9999
6/25/2013 13:25,-8,6/25/2013 21:25,-9999,-9999,-0.314,-9999,-9999,20.426,-9999
6/25/2013 13:30,-8,6/25/2013 21:30,-9999,-9999,-0.4,-9999,-9999,20.444,-9999
6/25/2013 13:35,-8,6/25/2013 21:35,-9999,-9999,-0.246,-9999,-9999,20.457,-9999
6/25/2013 13:40,-8,6/25/2013 21:40,-9999,-9999,-0.36,-9999,-9999,20.468,-9999
6/25/2013 13:45,-8,6/25/2013 21:45,-9999,-9999,-0.176,-9999,-9999,20.482,-9999
6/25/2013 13:50,-8,6/25/2013 21:50,-9999,-9999,-0.15,-9999,-9999,20.497,-9999
6/25/2013 13:55,-8,6/25/2013 21:55,-9999,-9999,-0.337,-9999,-9999,20.504,-9999
6/25/2013 14:00,-8,6/25/2013 22:00,-9999,-9999,-0.539,-9999,-9999,20.514,-9999
6/25/2013 14:05,-8,6/25/2013 22:05,-9999,-9999,0.052,-9999,-9999,20.528,-9999
6/25/2013 14:10,-8,6/25/2013 22:10,-9999,-9999,-0.366,-9999,-9999,20.537,-9999
6/25/2013 14:15,-8,6/25/2013 22:15,-9999,-9999,-0.374,-9999,-9999,20.549,-9999
6/25/2013 14:20,-8,6/25/2013 22:20,-9999,-9999,-0.267,-9999,-9999,20.557,-9999
6/25/2013 14:25,-8,6/25/2013 22:25,-9999,-9999,-0.366,-9999,-9999,20.569,-9999
6/25/2013 14:30,-8,6/25/2013 22:30,-9999,-9999,-0.371,-9999,-9999,20.58,-9999
6/25/2013 14:35,-8,6/25/2013 22:35,-9999,-9999,-0.123,-9999,-9999,20.593,-9999
6/25/2013 14:40,-8,6/25/2013 22:40,-9999,-9999,-0.294,-9999,-9999,20.606,-9999
6/25/2013 14:45,-8,6/25/2013 22:45,-9999,-9999,-0.177,-9999,-9999,20.619,-9999
6/25/2013 14:50,-8,6/25/2013 22:50,-9999,-9999,-0.245,-9999,-9999,20.635,-9999
6/25/2013 14:55,-8,6/25/2013 22:55,-9999,-9999,-0.279,-9999,-9999,20.65,-9999
6/25/2013 15:00,-8,6/25/2013 23:00,-9999,-9999,-0.214,-9999,-9999,20.667,-9999
6/25/2013 15:05,-8,6/25/2013 23:05,-9999,-9999,-0.123,-9999,-9999,20.681,-9999
6/25/2013 15:10,-8,6/25/2013 23:10,-9999,-9999,-0.481,-9999,-9999,20.697,-9999
6/25/2013 15:15,-8,6/25/2013 23:15,-9999,-9999,-0.184,-9999,-9999,20.717,-9999
6/25/2013 15:20,-8,6/25/2013 23:20,-9999,-9999,-0.434,-9999,-9999,20.735,-9999
6/25/2013 15:25,-8,6/25/2013 23:25,-9999,-9999,-0.38,-9999,-9999,20.754,-9999
6/25/2013 15:30,-8,6/25/2013 23:30,-9999,-9999,-0.007,-9999,-9999,20.775,-9999
6/25/2013 15:35,-8,6/25/2013 23:35,-9999,-9999,-0.431,-9999,-9999,20.797,-9999
6/25/2013 15:40,-8,6/25/2013 23:40,-9999,-9999,-0.504,-9999,-9999,20.816,-9999
6/25/2013 15:45,-8,6/25/2013 23:45,-9999,-9999,-0.444,-9999,-9999,20.841,-9999
6/25/2013 15:50,-8,6/25/2013 23:50,-9999,-9999,-0.046,-9999,-9999,20.866,-9999
6/25/2013 15:55,-8,6/25/2013 23:55,-9999,-9999,-0.418,-9999,-9999,20.886,-9999
6/25/2013 16:00,-8,6/26/2013 0:00,-9999,-9999,-0.487,-9999,-9999,20.913,-9999
6/25/2013 16:05,-8,6/26/2013 0:05,-9999,-9999,-0.407,-9999,-9999,20.937,-9999
6/25/2013 16:10,-8,6/26/2013 0:10,-9999,-9999,-0.259,-9999,-9999,20.965,-9999
6/25/2013 16:15,-8,6/26/2013 0:15,-9999,-9999,-0.345,-9999,-9999,20.985,-9999
6/25/2013 16:20,-8,6/26/2013 0:20,-9999,-9999,-0.378,-9999,-9999,21.014,-9999
6/25/2013 16:25,-8,6/26/2013 0:25,-9999,-9999,-0.08,-9999,-9999,21.04,-9999
6/25/2013 16:30,-8,6/26/2013 0:30,-9999,-9999,-0.202,-9999,-9999,21.067,-9999
6/25/2013 16:35,-8,6/26/2013 0:35,-9999,-9999,-0.273,-9999,-9999,21.096,-9999
6/25/2013 16:40,-8,6/26/2013 0:40,-9999,-9999,-0.358,-9999,-9999,21.124,-9999
6/25/2013 16:45,-8,6/26/2013 0:45,-9999,-9999,-0.367,-9999,-9999,21.153,-9999
6/25/2013 16:50,-8,6/26/2013 0:50,-9999,-9999,-0.554,-9999,-9999,21.185,-9999
6/25/2013 16:55,-8,6/26/2013 0:55,-9999,-9999,-0.439,-9999,-9999,21.21,-9999
6/25/2013 17:00,-8,6/26/2013 1:00,-9999,-9999,-0.353,-9999,-9999,21.239,-9999
6/25/2013 17:05,-8,6/26/2013 1:05,-9999,-9999,-0.265,-9999,-9999,21.268,-9999
6/25/2013 17:10,-8,6/26/2013 1:10,-9999,-9999,-0.35,-9999,-9999,21.296,-9999
6/25/2013 17:15,-8,6/26/2013 1:15,-9999,-9999,-0.2,-9999,-9999,21.324,-9999
6/25/2013 17:20,-8,6/26/2013 1:20,-9999,-9999,-0.203,-9999,-9999,21.354,-9999
6/25/2013 17:25,-8,6/26/2013 1:25,-9999,-9999,-0.302,-9999,-9999,21.386,-9999
6/25/2013 17:30,-8,6/26/2013 1:30,-9999,-9999,-0.298,-9999,-9999,21.414,-9999
6/25/2013 17:35,-8,6/26/2013 1:35,-9999,-9999,-0.38,-9999,-9999,21.447,-9999
6/25/2013 17:40,-8,6/26/2013 1:40,-9999,-9999,-0.245,-9999,-9999,21.476,-9999
6/25/2013 17:45,-8,6/26/2013 1:45,-9999,-9999,-0.032,-9999,-9999,21.51,-9999
6/25/2013 17:50,-8,6/26/2013 1:50,-9999,-9999,-0.333,-9999,-9999,21.543,-9999
6/25/2013 17:55,-8,6/26/2013 1:55,-9999,-9999,-0.132,-9999,-9999,21.574,-9999
6/25/2013 18:00,-8,6/26/2013 2:00,-9999,-9999,-0.173,-9999,-9999,21.606,-9999
6/25/2013 18:05,-8,6/26/2013 2:05,-9999,-9999,-0.442,-9999,-9999,21.639,-9999
6/25/2013 18:10,-8,6/26/2013 2:10,-9999,-9999,-0.402,-9999,-9999,21.671,-9999
6/25/2013 18:15,-8,6/26/2013 2:15,-9999,-9999,-0.315,-9999,-9999,21.706,-9999
6/25/2013 18:20,-8,6/26/2013 2:20,-9999,-9999,-0.449,-9999,-9999,21.74,-9999
6/25/2013 18:25,-8,6/26/2013 2:25,-9999,-9999,-0.14,-9999,-9999,21.769,-9999
6/25/2013 18:30,-8,6/26/2013 2:30,-9999,-9999,-0.212,-9999,-9999,21.803,-9999
6/25/2013 18:35,-8,6/26/2013 2:35,-9999,-9999,-0.163,-9999,-9999,21.833,-9999
6/25/2013 18:40,-8,6/26/2013 2:40,-9999,-9999,-0.338,-9999,-9999,21.862,-9999
6/25/2013 18:45,-8,6/26/2013 2:45,-9999,-9999,-0.34,-9999,-9999,21.894,-9999
6/25/2013 18:50,-8,6/26/2013 2:50,-9999,-9999,-0.233,-9999,-9999,21.924,-9999
6/25/2013 18:55,-8,6/26/2013 2:55,-9999,-9999,-0.173,-9999,-9999,21.953,-9999
6/25/2013 19:00,-8,6/26/2013 3:00,-9999,-9999,-0.34,-9999,-9999,21.98,-9999
6/25/2013 19:05,-8,6/26/2013 3:05,-9999,-9999,-0.193,-9999,-9999,22.009,-9999
6/25/2013 19:10,-8,6/26/2013 3:10,-9999,-9999,-0.283,-9999,-9999,22.034,-9999
6/25/2013 19:15,-8,6/26/2013 3:15,-9999,-9999,-0.267,-9999,-9999,22.062,-9999
6/25/2013 19:20,-8,6/26/2013 3:20,-9999,-9999,-0.303,-9999,-9999,22.084,-9999
6/25/2013 19:25,-8,6/26/2013 3:25,-9999,-9999,-0.471,-9999,-9999,22.112,-9999
6/25/2013 19:30,-8,6/26/2013 3:30,-9999,-9999,-0.18,-9999,-9999,22.137,-9999
6/25/2013 19:35,-8,6/26/2013 3:35,-9999,-9999,-0.188,-9999,-9999,22.168,-9999
6/25/2013 19:40,-8,6/26/2013 3:40,-9999,-9999,-0.371,-9999,-9999,22.201,-9999
6/25/2013 19:45,-8,6/26/2013 3:45,-9999,-9999,-0.413,-9999,-9999,22.236,-9999
6/25/2013 19:50,-8,6/26/2013 3:50,-9999,-9999,-0.312,-9999,-9999,22.272,-9999
6/25/2013 19:55,-8,6/26/2013 3:55,-9999,-9999,0.025,-9999,-9999,22.303,-9999
6/25/2013 20:00,-8,6/26/2013 4:00,-9999,-9999,-0.184,-9999,-9999,22.339,-9999
6/25/2013 20:05,-8,6/26/2013 4:05,-9999,-9999,-0.262,-9999,-9999,22.376,-9999
6/25/2013 20:10,-8,6/26/2013 4:10,-9999,-9999,-0.198,-9999,-9999,22.41,-9999
6/25/2013 20:15,-8,6/26/2013 4:15,-9999,-9999,-0.223,-9999,-9999,22.445,-9999
6/25/2013 20:20,-8,6/26/2013 4:20,-9999,-9999,-0.143,-9999,-9999,22.483,-9999
6/25/2013 20:25,-8,6/26/2013 4:25,-9999,-9999,-0.331,-9999,-9999,22.522,-9999
6/25/2013 20:30,-8,6/26/2013 4:30,-9999,-9999,0.039,-9999,-9999,22.562,-9999
6/25/2013 20:35,-8,6/26/2013 4:35,-9999,-9999,-0.417,-9999,-9999,22.599,-9999
6/25/2013 20:40,-8,6/26/2013 4:40,-9999,-9999,-0.304,-9999,-9999,22.638,-9999
6/25/2013 20:45,-8,6/26/2013 4:45,-9999,-9999,-0.595,-9999,-9999,22.676,-9999
6/25/2013 20:50,-8,6/26/2013 4:50,-9999,-9999,-0.287,-9999,-9999,22.717,-9999
6/25/2013 20:55,-8,6/26/2013 4:55,-9999,-9999,-0.267,-9999,-9999,22.753,-9999
6/25/2013 21:00,-8,6/26/2013 5:00,-9999,-9999,-0.226,-9999,-9999,22.794,-9999
6/25/2013 21:05,-8,6/26/2013 5:05,-9999,-9999,-0.311,-9999,-9999,22.829,-9999
6/25/2013 21:10,-8,6/26/2013 5:10,-9999,-9999,-0.238,-9999,-9999,22.867,-9999
6/25/2013 21:15,-8,6/26/2013 5:15,-9999,-9999,-0.161,-9999,-9999,22.904,-9999
6/25/2013 21:20,-8,6/26/2013 5:20,-9999,-9999,-0.078,-9999,-9999,22.937,-9999
6/25/2013 21:25,-8,6/26/2013 5:25,-9999,-9999,-0.436,-9999,-9999,22.969,-9999
6/25/2013 21:30,-8,6/26/2013 5:30,-9999,-9999,-0.359,-9999,-9999,23.002,-9999
6/25/2013 21:35,-8,6/26/2013 5:35,-9999,-9999,-0.075,-9999,-9999,23.032,-9999
6/25/2013 21:40,-8,6/26/2013 5:40,-9999,-9999,-0.364,-9999,-9999,23.058,-9999
6/25/2013 21:45,-8,6/26/2013 5:45,-9999,-9999,-0.33,-9999,-9999,23.086,-9999
6/25/2013 21:50,-8,6/26/2013 5:50,-9999,-9999,-0.095,-9999,-9999,23.114,-9999
6/25/2013 21:55,-8,6/26/2013 5:55,-9999,-9999,-0.159,-9999,-9999,23.139,-9999
6/25/2013 22:00,-8,6/26/2013 6:00,-9999,-9999,-0.413,-9999,-9999,23.165,-9999
6/25/2013 22:05,-8,6/26/2013 6:05,-9999,-9999,-0.184,-9999,-9999,23.191,-9999
6/25/2013 22:10,-8,6/26/2013 6:10,-9999,-9999,-0.038,-9999,-9999,23.215,-9999
